row_index,date,category,amount_eur,note,is_daily,source_sheet
129,2025-12-17,Іжа на виніс,31.7,скара,True,Грудень 2025
130,2025-12-17,Продукти,23.65,лідл,True,Грудень 2025
131,2025-12-17,Сигарети,25.43,,True,Грудень 2025
132,2025-12-18,Іжа на виніс,10.01,скара,True,Грудень 2025
133,2025-12-18,Перукар,234.7,я,False,Грудень 2025
134,2025-12-18,Продукти,2.91,лідл,True,Грудень 2025
135,2025-12-18,Продукти,13.93,лідл,True,Грудень 2025
136,2025-12-18,Продукти,14.55,лідл [обчислено з формули],True,Грудень 2025
137,2025-12-18,Проїзд,1.96,,True,Грудень 2025
138,2025-12-18,Сигарети,25.43,,True,Грудень 2025
139,2025-12-18,Таксі,11.05,,True,Грудень 2025
140,2025-12-19,Іжа на виніс,29.92,скара,True,Грудень 2025
141,2025-12-19,Перукар,107.57,Коля,False,Грудень 2025
142,2025-12-19,Подарунки,271.86,геймпад Колі і Юлі,False,Грудень 2025
143,2025-12-19,Продукти,34.54,,True,Грудень 2025
144,2025-12-19,Сигарети,25.43,,True,Грудень 2025
145,2025-12-19,Солодке,19.58,лідл,True,Грудень 2025
146,2025-12-19,Таксі,21.69,,True,Грудень 2025
147,2025-12-20,Подорожі,1.76,Кава,False,Грудень 2025
148,2025-12-20,Подорожі,1.96,Туалет,False,Грудень 2025
149,2025-12-20,Подорожі,18.85,Ярмарка,False,Грудень 2025
150,2025-12-20,Подорожі,21.1,Ярмарка,False,Грудень 2025
151,2025-12-20,Подорожі,22.63,Ярмарка,False,Грудень 2025
152,2025-12-20,Подорожі,10.54,Ярмарка,False,Грудень 2025
153,2025-12-20,Подорожі,26.38,Ярмарка,False,Грудень 2025
154,2025-12-20,Подорожі,91.57,Ярмарка,False,Грудень 2025
155,2025-12-20,Продукти,40.88,матча,True,Грудень 2025
156,2025-12-20,Продукти,11.72,,True,Грудень 2025
157,2025-12-20,Проїзд,4.5,,True,Грудень 2025
158,2025-12-20,Підписки,11.72,iCloud Коля,False,Грудень 2025
159,2025-12-20,Сигарети,63.56,,True,Грудень 2025
160,2025-12-20,Таксі,23.57,,True,Грудень 2025
161,2025-12-20,Таксі,12.81,,True,Грудень 2025
162,2025-12-20,Таксі,14.34,,True,Грудень 2025
163,2025-12-20,Хімія,18.48,,True,Грудень 2025
164,2025-12-20,Хімія,7.8,,True,Грудень 2025
165,2025-12-21,Подорожі,2.97,Туалет,False,Грудень 2025
166,2025-12-21,Продукти,56.72,,True,Грудень 2025
167,2025-12-21,Продукти,47.84,,True,Грудень 2025
168,2025-12-21,Сигарети,36.22,,True,Грудень 2025
169,2025-12-21,Снеки,10.15,,True,Грудень 2025
170,2025-12-21,Таксі,28.71,,True,Грудень 2025
171,2025-12-23,Іжа на виніс,61.08,Дьонер,True,Грудень 2025
172,2025-12-23,Іжа на виніс,21.18,,True,Грудень 2025
173,2025-12-23,Алкоголь,16.62,,True,Грудень 2025
174,2025-12-23,Подорожі,3.44,На вежі,False,Грудень 2025
175,2025-12-23,Продукти,216.31,Кауфленд,True,Грудень 2025
176,2025-12-23,Проїзд,2.62,,True,Грудень 2025
177,2025-12-23,Сигарети,27.62,,True,Грудень 2025
178,2025-12-23,Солодке,18.89,,True,Грудень 2025
179,2025-12-24,Продукти,184.9,,True,Грудень 2025
180,2025-12-24,Продукти,10.58,,True,Грудень 2025
181,2025-12-24,Сигарети,72.56,,True,Грудень 2025
182,2025-12-25,Іжа в закладі,7.55,Глінтвейн [розподілено з «потусити»],True,Грудень 2025
183,2025-12-25,Алкоголь,7.54,Глінтвейн [розподілено з «потусити»],True,Грудень 2025
184,2025-12-25,Подорожі,9.06,Магнітик,False,Грудень 2025
185,2025-12-25,Проїзд,5.24,,True,Грудень 2025
186,2025-12-25,Снеки,7.54,Глінтвейн [розподілено з «потусити»],True,Грудень 2025
187,2025-12-26,Продукти,26.58,Megaimage,True,Грудень 2025
188,2025-12-26,Продукти,12.81,Megaimage,True,Грудень 2025
189,2025-12-27,Подорожі,135.79,Печери,False,Грудень 2025
190,2025-12-27,Подорожі,42.23,Човен,False,Грудень 2025
191,2025-12-27,Подорожі,24.13,Кава,False,Грудень 2025
192,2025-12-27,Продукти,174.66,Lidl,True,Грудень 2025
193,2025-12-28,Іжа в закладі,103.27,Кіно,True,Грудень 2025
194,2025-12-28,Іжа на виніс,40.72,Дьонери,True,Грудень 2025
195,2025-12-28,Сигарети,18.09,,True,Грудень 2025
196,2025-12-28,івенти (квитки),76.57,Кіно,False,Грудень 2025
197,2025-12-29,Іжа на виніс,73.13,Бургери,True,Грудень 2025
198,2025-12-29,Продукти,46.27,DM,True,Грудень 2025
199,2025-12-29,Продукти,134.03,Carefour,True,Грудень 2025
200,2025-12-29,Підписки,23.25,телефон Коля,False,Грудень 2025
201,2025-12-29,Сигарети,72.4,,True,Грудень 2025
202,2025-12-30,Продукти,161.14,Lidl,True,Грудень 2025
203,2025-12-31,Продукти,51.24,Kaufland,True,Грудень 2025
204,2025-12-31,Підписки,2.55,iCloud 200GB мій,False,Січень 2026
205,2025-12-31,Підписки,9.8,iCloud 200GB мій,False,Грудень 2025
206,2025-12-31,Підписки,15.41,Chat GPT,False,Грудень 2025
207,2025-12-31,Сигарети,72.33,,True,Грудень 2025
208,2025-12-31,Таксі,19.81,,True,Грудень 2025
209,2026-01-01,Іжа на виніс,11.94,Суші,True,Січень 2026
210,2026-01-01,Алкоголь,6.07,Глінтвейн,True,Січень 2026
211,2026-01-01,Мама+котянчики,151.82,Мама + котянчики,False,Січень 2026
212,2026-01-01,Подорожі,60.72,Поїздка по Румунії,False,Січень 2026
213,2026-01-01,Продукти,30.36,Кауфленд,True,Січень 2026
214,2026-01-01,Таксі,3.23,,True,Січень 2026
215,2026-01-02,Іжа в закладі,15.82,Сауна [розподілено з «потусити»],True,Січень 2026
216,2026-01-02,Іжа в закладі,21.94,Кафе Палтініш,True,Січень 2026
217,2026-01-02,Алкоголь,15.81,Сауна [розподілено з «потусити»],True,Січень 2026
218,2026-01-02,Підписки,16.49,Youtube,False,Січень 2026
219,2026-01-02,Снеки,15.81,Сауна [розподілено з «потусити»],True,Січень 2026
220,2026-01-02,Таксі,5.06,,True,Січень 2026
221,2026-01-03,Іжа на виніс,11.84,Дьонери,True,Січень 2026
222,2026-01-03,Подорожі,12.15,Megaimage,False,Січень 2026
223,2026-01-03,Продукти,7.15,Lidl,True,Січень 2026
224,2026-01-03,Сигарети,9.47,,True,Січень 2026
225,2026-01-03,Таксі,2.31,,True,Січень 2026
226,2026-01-04,Іжа на виніс,2.76,Кава,True,Січень 2026
227,2026-01-04,Іжа на виніс,4.93,Їжа на АЗС,True,Січень 2026
228,2026-01-04,Подорожі,13.57,,False,Січень 2026
229,2026-01-04,Подорожі,51.26,Констанца-Варна (повернули 50.78 Є),False,Січень 2026
230,2026-01-04,Подорожі,-50.78,Констанца-Варна (повернули 50.78 Є),False,Січень 2026
231,2026-01-04,Подорожі,6.81,,False,Січень 2026
232,2026-01-04,Подорожі,14.42,Переплата за курс євро,False,Січень 2026
233,2026-01-04,Подорожі,67.06,Готель,False,Січень 2026
234,2026-01-04,Подорожі,18.0,Бухарест-Констанца,False,Січень 2026
235,2026-01-04,Подорожі,67.07,Їжа в ресторані на морі,False,Січень 2026
236,2026-01-04,Подорожі,3.33,Таксі,False,Січень 2026
237,2026-01-04,Подорожі,4.66,Таксі,False,Січень 2026
238,2026-01-04,Продукти,8.02,Mega image,True,Січень 2026
239,2026-01-04,Продукти,1.58,Вода в готелі,True,Січень 2026
240,2026-01-04,Продукти,2.24,Кауфленд,True,Січень 2026
241,2026-01-04,Сигарети,9.47,,True,Січень 2026
242,2026-01-04,Сигарети,4.73,,True,Січень 2026
243,2026-01-05,Іжа на виніс,6.08,,True,Січень 2026
244,2026-01-05,Продукти,3.06,дм молоко,True,Січень 2026
245,2026-01-05,Продукти,15.69,Lidl,True,Січень 2026
246,2026-01-05,Продукти,1.48,,True,Січень 2026
247,2026-01-05,Продукти,6.92,[обчислено з формули],True,Січень 2026
248,2026-01-05,Продукти,15.84,,True,Січень 2026
249,2026-01-05,Речі для дому,7.57,шейкер,False,Січень 2026
250,2026-01-06,Іжа на виніс,3.5,томати кручені,True,Січень 2026
251,2026-01-06,Алкоголь,9.72,,True,Січень 2026
252,2026-01-06,Квартира,15.27,Вода,False,Січень 2026
253,2026-01-06,Квартира,490.0,Оренда,False,Січень 2026
254,2026-01-06,Квартира,54.67,світло,False,Січень 2026
255,2026-01-06,Продукти,3.06,[обчислено з формули],True,Січень 2026
256,2026-01-06,Продукти,5.98,,True,Січень 2026
257,2026-01-06,Продукти,1.43,,True,Січень 2026
258,2026-01-06,Продукти,2.86,,True,Січень 2026
259,2026-01-06,Продукти,37.66,молоко і матча [обчислено з формули],True,Січень 2026
260,2026-01-06,Підписки,6.06,поповнення мобільного Олі,False,Січень 2026
261,2026-01-06,Сигарети,6.54,,True,Січень 2026
262,2026-01-06,Хімія,1.84,,True,Січень 2026
263,2026-01-06,Хімія,48.72,[обчислено з формули],True,Січень 2026
264,2026-01-07,Іжа в закладі,16.36,Рамен,True,Січень 2026
265,2026-01-07,Квартира,15.9,Жіночка,False,Січень 2026
266,2026-01-07,Проїзд,1.02,,True,Січень 2026
267,2026-01-07,Сигарети,6.64,,True,Січень 2026
268,2026-01-08,Іжа на виніс,18.17,берізка,True,Січень 2026
269,2026-01-08,Продукти,16.78,,True,Січень 2026
270,2026-01-08,Продукти,2.81,,True,Січень 2026
271,2026-01-08,Продукти,2.55,Lidl,True,Січень 2026
272,2026-01-08,Сигарети,6.54,,True,Січень 2026
273,2026-01-09,Алкоголь,5.34,,True,Січень 2026
274,2026-01-09,Масаж,55.0,,False,Січень 2026
275,2026-01-09,Продукти,9.89,Мікс маркт,True,Січень 2026
276,2026-01-09,Продукти,3.06,,True,Січень 2026
277,2026-01-09,Продукти,4.0,,True,Січень 2026
278,2026-01-09,Продукти,2.53,,True,Січень 2026
279,2026-01-09,Продукти,7.55,[обчислено з формули],True,Січень 2026
280,2026-01-09,Сигарети,6.64,,True,Січень 2026
281,2026-01-09,Снеки,4.15,,True,Січень 2026
282,2026-01-09,Снеки,4.06,[обчислено з формули],True,Січень 2026
283,2026-01-10,Одяг,6.64,плавки Колі,True,Січень 2026
284,2026-01-10,Продукти,33.15,Lidl [обчислено з формули],True,Січень 2026
285,2026-01-10,Продукти,3.04,дм,True,Січень 2026
286,2026-01-10,Солодке,7.99,торт шоколадний,True,Січень 2026
287,2026-01-10,Техніка,168.22,осушувач,False,Січень 2026
288,2026-01-11,Продукти,7.56,[обчислено з формули],True,Січень 2026
289,2026-01-11,Продукти,22.18,,True,Січень 2026
290,2026-01-11,Речі для дому,3.98,ситечко,False,Січень 2026
291,2026-01-11,Сигарети,6.64,,True,Січень 2026
292,2026-01-11,Хімія,1.48,,True,Січень 2026
293,2026-01-12,Подарунки,90.91,Мама Ніна,False,Січень 2026
294,2026-01-12,Продукти,6.34,Bio Bazar,True,Січень 2026
295,2026-01-12,Сигарети,6.64,,True,Січень 2026
296,2026-01-13,Квартира,11.79,Інтернет,False,Січень 2026
297,2026-01-13,Продукти,12.23,Lidl,True,Січень 2026
298,2026-01-13,Сигарети,6.64,,True,Січень 2026
299,2026-01-14,Алкоголь,7.12,,True,Січень 2026
300,2026-01-14,Продукти,17.9,,True,Січень 2026
301,2026-01-14,Продукти,1.17,[обчислено з формули],True,Січень 2026
302,2026-01-14,Продукти,6.62,,True,Січень 2026
303,2026-01-14,Продукти,1.78,,True,Січень 2026
304,2026-01-14,Сигарети,6.64,,True,Січень 2026
305,2026-01-14,Сигарети,3.32,,True,Січень 2026
306,2026-01-14,Снеки,1.27,,True,Січень 2026
307,2026-01-14,Снеки,1.07,,True,Січень 2026
308,2026-01-14,Снеки,4.6,,True,Січень 2026
309,2026-01-14,Снеки,4.08,,True,Січень 2026
310,2026-01-15,Іжа на виніс,4.6,дьонер,True,Січень 2026
311,2026-01-15,Алкоголь,7.12,,True,Січень 2026
312,2026-01-15,Продукти,0.46,,True,Січень 2026
313,2026-01-15,Продукти,2.04,,True,Січень 2026
314,2026-01-15,Продукти,3.01,,True,Січень 2026
315,2026-01-15,Сигарети,6.64,,True,Січень 2026
316,2026-01-15,Снеки,1.38,,True,Січень 2026
317,2026-01-15,Снеки,4.08,,True,Січень 2026
318,2026-01-16,Мама+котянчики,2.02,Котянчики,False,Січень 2026
319,2026-01-16,Подарунки,7.72,,False,Січень 2026
320,2026-01-16,Подарунки,20.0,квіти Тані і Наталі,False,Січень 2026
321,2026-01-16,Продукти,4.99,Lidl,True,Січень 2026
322,2026-01-16,Продукти,13.18,,True,Січень 2026
323,2026-01-16,Проїзд,0.51,,True,Січень 2026
324,2026-01-16,Підписки,1.59,Google диск,False,Січень 2026
325,2026-01-16,Сигарети,6.64,,True,Січень 2026
326,2026-01-16,Таксі,4.42,,True,Січень 2026
327,2026-01-17,Продукти,2.13,,True,Січень 2026
328,2026-01-17,Продукти,25.04,[обчислено з формули],True,Січень 2026
329,2026-01-17,Підписки,2.6,річна (гра питання ребром),False,Січень 2026
330,2026-01-17,Підписки,26.02,дуолінго,False,Січень 2026
331,2026-01-17,Речі для дому,6.99,фікус,False,Січень 2026
332,2026-01-17,Сигарети,6.64,,True,Січень 2026
333,2026-01-18,Іжа на виніс,6.62,,True,Січень 2026
334,2026-01-18,Продукти,2.45,,True,Січень 2026
335,2026-01-18,Сигарети,6.64,,True,Січень 2026
336,2026-01-18,Снеки,2.55,,True,Січень 2026
337,2026-01-18,Таксі,9.4,,True,Січень 2026
338,2026-01-19,Іжа на виніс,11.45,суші кауфленд,True,Січень 2026
339,2026-01-19,Медицина,4.14,,False,Січень 2026
340,2026-01-19,Продукти,21.57,кауфленд [обчислено з формули],True,Січень 2026
341,2026-01-19,Сигарети,6.64,,True,Січень 2026
342,2026-01-19,Таксі,4.41,,True,Січень 2026
343,2026-01-19,Таксі,4.5,,True,Січень 2026
344,2026-01-19,Таксі,2.8,,True,Січень 2026
345,2026-01-19,Таксі,2.37,,True,Січень 2026
346,2026-01-20,Продукти,15.07,,True,Січень 2026
347,2026-01-20,Проїзд,2.04,,True,Січень 2026
348,2026-01-20,Підписки,2.99,iCloud Коля,False,Січень 2026
349,2026-01-20,Сигарети,3.32,,True,Січень 2026
350,2026-01-21,Продукти,6.12,,True,Січень 2026
351,2026-01-21,Проїзд,0.51,,True,Січень 2026
352,2026-01-22,Масаж,50.0,,False,Січень 2026
353,2026-01-22,Продукти,3.79,[обчислено з формули],True,Січень 2026
354,2026-01-22,Сигарети,6.64,,True,Січень 2026
355,2026-01-22,Таксі,3.58,,True,Січень 2026
356,2026-01-22,Таксі,2.83,,True,Січень 2026
357,2026-01-23,Продукти,18.91,кауфленд [обчислено з формули],True,Січень 2026
358,2026-01-23,Речі для дому,4.23,лампочка,False,Січень 2026
359,2026-01-23,Сигарети,6.64,,True,Січень 2026
360,2026-01-24,Іжа на виніс,3.78,капуста з гриль,True,Січень 2026
361,2026-01-24,Алкоголь,5.34,,True,Січень 2026
362,2026-01-24,Алкоголь,7.66,,True,Січень 2026
363,2026-01-24,Подарунки,4.6,листівка Марині,False,Січень 2026
364,2026-01-24,Продукти,43.26,[обчислено з формули],True,Січень 2026
365,2026-01-24,Проїзд,1.02,,True,Січень 2026
366,2026-01-24,Речі для дому,54.99,мишка Колі,False,Січень 2026
367,2026-01-24,Речі для дому,7.86,все для вазонів [обчислено з формули],False,Січень 2026
368,2026-01-24,Сигарети,6.64,,True,Січень 2026
369,2026-01-24,Снеки,4.08,,True,Січень 2026
370,2026-01-24,Снеки,1.53,,True,Січень 2026
371,2026-01-24,Снеки,2.3,,True,Січень 2026
372,2026-01-24,Снеки,1.38,,True,Січень 2026
373,2026-01-24,Таксі,5.2,,True,Січень 2026
374,2026-01-25,Іжа в закладі,23.0,,True,Січень 2026
375,2026-01-25,Сигарети,6.64,,True,Січень 2026
376,2026-01-26,Продукти,6.02,яйця,True,Січень 2026
377,2026-01-26,Продукти,6.12,молоко,True,Січень 2026
378,2026-01-26,Продукти,13.98,[обчислено з формули],True,Січень 2026
379,2026-01-26,Сигарети,6.64,,True,Січень 2026
380,2026-01-27,Сигарети,6.64,,True,Січень 2026
381,2026-01-28,Іжа на виніс,14.31,суші,True,Січень 2026
382,2026-01-28,Іжа на виніс,10.73,суші,True,Січень 2026
383,2026-01-28,Сигарети,6.64,,True,Січень 2026
384,2026-01-28,Таксі,4.07,,True,Січень 2026
385,2026-01-29,Медицина,18.25,ашваганда,False,Січень 2026
386,2026-01-29,Продукти,0.25,,True,Січень 2026
387,2026-01-29,Продукти,24.19,,True,Січень 2026
388,2026-01-29,Продукти,10.04,,True,Січень 2026
389,2026-01-29,Сигарети,6.64,,True,Січень 2026
390,2026-01-30,Масаж,66.0,,False,Січень 2026
391,2026-01-30,Продукти,13.14,,True,Січень 2026
392,2026-01-30,Проїзд,0.51,,True,Січень 2026
393,2026-01-30,Сигарети,6.64,,True,Січень 2026
394,2026-01-30,Таксі,3.55,,True,Січень 2026
395,2026-01-31,Продукти,3.01,,True,Січень 2026
396,2026-01-31,Продукти,2.49,[обчислено з формули],True,Січень 2026
397,2026-01-31,Сигарети,3.32,,True,Січень 2026
398,2026-02-01,Продукти,15.65,[обчислено з формули],True,Лютий 2026
399,2026-02-01,Продукти,3.06,,True,Лютий 2026
400,2026-02-01,Продукти,20.01,,True,Лютий 2026
401,2026-02-01,Підписки,16.49,Youtube,False,Лютий 2026
402,2026-02-01,Сигарети,6.64,,True,Лютий 2026
403,2026-02-01,Хімія,10.17,[обчислено з формули],True,Лютий 2026
404,2026-02-01,івенти (квитки),35.0,Candlelight у березні,False,Лютий 2026
405,2026-02-01,івенти (квитки),0.66,такса за банківський перевод Альоні,False,Лютий 2026
406,2026-02-02,Квартира,17.84,Вода,False,Лютий 2026
407,2026-02-02,Квартира,55.66,Світло,False,Лютий 2026
408,2026-02-02,Квартира,14.21,жіночка,False,Лютий 2026
409,2026-02-02,Мама+котянчики,158.19,,False,Лютий 2026
410,2026-02-02,Одяг,2.55,,True,Лютий 2026
411,2026-02-02,Подарунки,506.37,Екофлоу,False,Лютий 2026
412,2026-02-02,Подарунки,-285.27,Екофлоу,False,Лютий 2026
413,2026-02-02,Продукти,10.82,,True,Лютий 2026
414,2026-02-02,Продукти,11.34,[обчислено з формули],True,Лютий 2026
415,2026-02-03,Масаж,50.0,,False,Лютий 2026
416,2026-02-03,Перукар,32.0,,False,Лютий 2026
417,2026-02-03,Продукти,3.01,,True,Лютий 2026
418,2026-02-03,Проїзд,1.02,,True,Лютий 2026
419,2026-02-03,Підписки,5.91,мій телефон,False,Лютий 2026
420,2026-02-03,Сигарети,6.64,,True,Лютий 2026
421,2026-02-03,Таксі,2.57,,True,Лютий 2026
422,2026-02-04,Продукти,24.6,,True,Лютий 2026
